GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",82917,12817
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",49342,9205
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",52453,8074
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",61658,12198
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",79405,14498
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",94609,15378
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",62583,15389
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",72684,8710
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",97500,13722
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",49583,14840
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",42292,8418
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",22371,5951
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",24721,3367
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",11410,5267
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",55738,3537
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",37048,11832
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",25481,2610
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",50952,13119
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",35213,14154
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",44596,5400
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",73750,9531
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",57083,19498
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",42595,4331
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",39658,4338
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",32177,9407
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",51425,4682
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",35389,6055
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",70128,10638
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",86970,9788
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",54784,6603
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",46250,6227
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",23125,13070
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",85521,46247
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",83929,24207
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",50580,14534
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",71989,12765
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",58594,13992
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",43182,24554
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",43542,16231
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",67072,11216
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",39551,5029
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",54228,4573
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",41053,5025
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",61250,7560
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",44881,8222
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",55852,6685
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",74792,13945
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",110720,15637
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",97917,24522
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",71618,13595
1400000US08031003003,08031003003,"Census Tract 30.03, Denver County, Colorado",53261,7944
1400000US08031003004,08031003004,"Census Tract 30.04, Denver County, Colorado",51129,8537
1400000US08031003101,08031003101,"Census Tract 31.01, Denver County, Colorado",65795,12924
1400000US08031003102,08031003102,"Census Tract 31.02, Denver County, Colorado",30000,8532
