GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",1029,180
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",1135,186
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",680,149
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",1043,183
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",1043,213
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",1210,109
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",919,99
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",1309,124
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",1455,244
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",653,81
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",854,54
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",737,32
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",808,66
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",261,80
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",1085,66
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",1047,76
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",806,32
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",1116,63
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",902,283
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",796,81
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",1596,123
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",957,131
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",1128,193
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",657,96
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",983,124
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",1185,107
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",884,83
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",1538,112
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",1648,86
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",1312,149
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",1215,141
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",380,134
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",1250,1000
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",1568,248
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",889,59
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",986,171
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",870,155
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",946,135
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",914,96
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",1244,136
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",853,32
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",981,73
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",856,68
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",1143,141
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",854,37
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",1081,59
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",1084,184
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",1522,185
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",1144,291
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",1214,136
