LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
325.0,Petrikin Estate,None,418,2008,2109 E. 9th Avenue,None,2109,E,9th,AVE,Morgan's Subdivision,None,1917-18,None,None,None, ,None,None,None
220.0,Chamberlin Observatory,None,598,1994,2930 E. Warren Avenue,None,2930,E,Warren,AVE,Not in Historic District,5DV.187,1888-90,None,None,None, ,None,None,None
221.0,Graham-Bible House,None,676,1994,2080 York Street,2030 York Street,2080,None,York,ST,Not in Historic District,5DV.6041,1892-93,None,None,None, ,None,None,None
222.0,Washington Park Bath House,None,677,1994,Washington Park,600 S. Marion Street,None,None,Washington P,None,Not in Historic District,5DV.5333,1911-12,None,None,None, ,None,None,None
223.0,Nursery Building,None,678,1994,888 E. Iliff Avenue,None,888,E,Iliff ,AVE,Not in Historic District,5DV.5336,1923,None,None,None, ,None,None,None
226.0,Park Hill Elementary School,None,836,1994,5050 E. 19th Avenue,None,5050,E,19th,AVE,Not in Historic District,5DV.2084,1901 (See Notes),None,None,None,"Yr. Built - additions1912,1928,1968-69",None,None,None
229.0,Cory Elementary School,None,928,1994,1550 S. Steele Street,None,1550,S,Steele,ST,Not in Historic District,None,1951-52,None,None,None, ,None,None,None
230.0,Merrill Middle School,None,929,1994,1551 S. Monroe Street,None,1551,S,Monroe ,ST,Not in Historic District,None,1953,None,None,None, ,None,None,None
231.0,Washington Park Pavilion/Boat House,None,930,1994,Washington Park,691 S. Franklin Street,None,None,Washington P,None,Not in Historic District,5DV.5333,1913,None,None,None, ,None,None,None
241.0,Steele Elementary School,None,180,1995,320 S. Marion Parkway,None,320,S,Marion,ST,Not in Historic District,5DV.2087,"1913, addn & altered 1929",None,None,None, ,None,None,None
244.0,Fire Station Number 7,None,596,1995,3600 Tejon Street,None,3600,None,Tejon,ST,Not in Historic District,5DV.198,1909,None,None,None, ,None,None,None
245.0,Our Lady of Guadalupe Church,None,597,1995,3559 Kalamath Street,3555 Kalamath Street,3559,None,Kalamath,ST,Not in Historic District,5DV.358.36,1947-48,None,None,None, ,None,None,None
247.0,Horace Mann Middle School,None,709,1995,4130 Navajo Street,None,4130,None,Navajo,ST,Not in Historic District,5DV.2077,"1931, addn 1956, 1994",None,None,None, ,None,None,None
